S2 Without Co-occurences,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,COHESION,,COMPLEXITY,,,,Inheritance,,,COUPLING,,,SIZE,,,
"""ufc.quixada.npi""",LCOM,,Average Cyclomatic Complexity,Sum Cyclomatic Complexity,Essential Complexity,Nesting,DIT,NOC,Base Classes,CBO,,,LOC,CLOC,Number of Methods,Number of Classes
ChecklistRepository,0,,0,0,0,0,2,0,1,1,,,,,,
CompartilhamentoRepository,0,,0,0,0,0,2,0,1,3,,,,,,
ConfiguracaoRepository,0,,0,0,0,0,2,0,1,1,,,,,,
CursoRepository,0,,0,0,0,0,2,0,1,2,,,,,,
DisciplinaRepository,0,,0,0,0,0,2,0,1,1,,,,,,
HorarioBloqueadoRepository,0,,0,0,0,0,2,0,1,4,,,,,,
itemCheckListRepository,0,,0,0,0,0,2,0,1,0,,,,,,
OfertaRepository,0,,0,0,0,0,2,0,1,3,,,,,,
PeriodoRepository,0,,0,0,0,0,2,0,1,1,,,,,,
PreferenciaRepository,0,,0,0,0,0,2,0,1,3,,,,,,
ProfessorRepository,0,,0,0,0,0,2,0,1,1,,,,,,
RestricaoHorarioRepository,0,,0,0,0,0,2,0,1,3,,,,,,
TurmaRepository,0,,0,0,0,0,2,0,1,1,,,,,,
ufc.quixada.npi.ap.service,,,,,,,,,,,,,,,,
ChecklistService,0,,0,0,0,0,0,1,0,1,,,,,,
CompartilhamentoService,0,,0,0,0,0,0,1,0,3,,,,,,
ConfiguracaoService,0,,0,0,0,0,0,1,0,1,,,,,,
CursoService,0,,0,0,0,0,0,1,0,3,,,,,,
DisciplinaService,0,,0,0,0,0,0,1,0,2,,,,,,
HorarioBloqueadoService,0,,0,0,0,0,0,1,0,5,,,,,,
OfertaService,0,,0,0,0,0,0,1,0,5,,,,,,
PeriodoService,0,,0,0,0,0,0,1,0,1,,,,,,
PreferenciaService,0,,0,0,0,0,0,1,0,4,,,,,,
ProfessorService,0,,0,0,0,0,0,1,0,3,,,,,,
RestricaoHorarioService,0,,0,0,0,0,0,1,0,1,,,,,,
TurmaService,0,,0,0,0,0,0,1,0,2,,,,,,
ufc.quixada.npi.ap.service.impl,,,,,,,,,,,,,,,,
ChecklistServiceImpl,61,,1,7,1,1,1,0,2,4,,,,,,
CompartilhamentoServiceImpl,50,,1,17,5,4,1,0,2,7,,,,,,
ConfiguracaoServiceImpl,0,,1,3,1,0,1,0,2,2,,,,,,
CursoServiceImpl,0,,1,5,1,0,1,0,2,5,,,,,,
DisciplinaServiceImpl,0,,1,9,1,1,1,0,2,4,,,,,,
HorarioBloqueadoServiceImpl,0,,1,8,1,1,1,0,2,7,,,,,,
OfertaServiceImpl,73,,1,26,1,4,1,0,2,13,,,,,,
PeriodoServiceImpl,42,,1,7,1,0,1,0,2,3,,,,,,
PreferenciaServiceImpl,0,,1,7,1,1,1,0,2,5,,,,,,
ProfessorServiceImpl,42,,2,15,1,2,1,0,2,7,,,,,,
RestricaoHorarioServiceImpl,44,,1,12,3,2,1,0,2,5,,,,,,
TurmaServiceImpl,0,,1,3,1,0,1,0,2,3,,,,,,
UserDetailsServiceImpl,0,,2,2,1,1,1,0,2,2,,,,,,
ufc.quixada.npi.ap.util,,,,,,,,,,,,,,,,
Constants,0,,0,0,0,0,1,0,1,0,,,,,,
ufc.quixada.npi.ap.validation,,,,,,,,,,,,,,,,
CompartilhamentoValidator,0,,2,13,1,2,1,0,2,5,,,,,,
CursoValidator,28,,4,34,1,3,1,0,2,3,,,,,,
DisciplinaValidator,66,,2,8,1,3,1,0,2,2,,,,,,
EmpilhamentoValidator,0,,1,6,1,1,1,0,2,5,,,,,,
OfertaValidator,0,,2,23,1,2,1,0,2,3,,,,,,
PeriodoValidator,0,,3,31,1,2,1,0,2,2,,,,,,
ProfessorValidator,77,,4,24,1,3,,,,,,,,,,
,,,,,,,,,,,,,,,,
Total,3634,,86,770,102,62,101,12,109,313,,,,,,
Total All Metrics,3634,,,1020,,,,222,,,,,,,,
